,name,skills,category,country,rating,reviews,price
25,Tejas Jain,"['Machine Learning', 'Deep Learning', 'Reinforcement Learning', 'Neural Networks', 'PyTorch', 'Computer Vision', 'Data Science', 'Mathematics', 'Statistics', 'Calculus', 'Linear Algebra', 'Python', 'Data Structures', 'Algorithms', 'MachineLearning', 'Data', 'TensorFlow', 'PyTorch']",,India,5.0,2.0,
26,Michael Trew,"['Full Stack Web Developer', 'JavaScript', 'React', 'Python', 'CSS', 'HTML', 'NodeJS', 'Leadership']",,United States of America,,,
27,Nick Hoh,"['Design', 'User Experience', 'Product Design', 'User Research', 'Portfolio Review', 'Career Transition', 'Leadership', 'Design leadership', 'People Management', 'UX Design', 'UI Design']",,United States of America,5.0,4.0,
28,Riccardo Giorato,"['ReactJS', 'postgreSQL', 'nextjs', 'aws', 'vercel', 'Typescript', 'JavaScript', 'React', 'NodeJS', 'Startup', 'SaaS', 'Business Development', 'Product Management', 'Product Design', 'Marketing', 'Start up', 'Growth']",,Italy,4.7,7.0,
29,Edward Murphy,"['JavaScript', 'Node JS', 'ZSH', 'Gatsby JS', 'Docker', 'AWS', 'Digital Ocean', 'Vim', 'Kubernetes', 'Data Science', 'Github Actions', 'CI/CD', 'MongoDB', 'GCP', 'DevOps', 'Linux', 'ReactJS', 'Vuejs']",,United States of America,5.0,32.0,
30,Gustav Nyman,"['Product Development', 'Engineering', 'Hardware', 'Product Design', 'IoT', 'Startup', 'Sourcing', 'Manufacturing', 'China', 'Product Management']",,Sweden,5.0,4.0,
31,Greg Mitten,"['Java', 'Scala', 'SQL', 'Agile', 'Software Development', 'JavaScript']",,Netherlands,4.9,8.0,
32,Kamal S,"['Flutter', 'Dart', 'UI', 'Android', 'Project Management', 'Career guidance', 'CV Review', 'User Experience', 'Flutter Interview', 'mobile']",,India,4.3,9.0,
33,Damilola Oduronbi,"['NodeJS', 'JavaScript', 'HTML', 'CSS', 'ReactJS', 'Agile', 'Web Development', 'node', 'Programming']",,United Kingdom,5.0,4.0,
34,Abba Barde,"['Python', 'machine learning', 'Deep Learning', 'Computer Vision', 'NLP', 'scikit-learn', 'tensorflow', 'pandas', 'PyTorch']",,Nigeria,5.0,2.0,
35,Rosie Sherry,"['community', 'Growth', 'Marketing', 'founders', 'self funded', 'indie hacker', 'bootstrapping', 'community building']",,United Kingdom,,,
